"id","score","path_id","user_id"
6617,0.5365825365803899,53,53
6618,0.12623832662621348,123,53
6624,0.688548951493459,186,53
6625,0.3559151089309497,136,53
6626,0.32002602998660445,79,53
6627,0.04589002830717459,80,53
6628,0.4680325139252748,82,53
6629,0.5210831008797387,83,53
6630,0.9639842410307186,84,53
6631,0.7161502693903429,85,53
6632,0.5814746010487464,137,53
6633,0.306150721449011,52,53
14353,0.0010007658960450305,53,115
14358,0.795501551477262,123,115
6634,0.9088003441958128,50,53
6635,0.10953135722165896,55,53
6636,0.9298505662523581,86,53
10571,0.467933350887507,225,91
10572,0.31261963977526175,268,91
6637,0.1190157357666094,58,53
6638,0.009510682480943,60,53
6639,0.06878304036660077,59,53
10573,0.9466353138895874,226,91
10574,0.6021548250677704,227,91
10575,0.7997554321380327,228,91
10576,0.4778699485042748,229,91
14359,0.06505837172053908,136,115
14361,0.9723208313072472,137,115
14362,0.6439627636952978,52,115
66,0.1641249403849806,53,18
58,0.011844358530000654,52,18
60,0.1811521809907446,50,18
61,0.5202595645895552,55,18
2695,0.048132937436832335,208,15
63,0.9902591184839025,58,18
8338,0.16307428112058064,52,72
8525,0.2792138645635087,252,72
8526,0.9271873231870152,253,72
12282,0.4330682144324167,53,108
8527,0.8678595580005841,254,72
8528,0.5091900207774553,255,72
12287,0.34714056315051933,123,108
64,0.9255585803758829,60,18
65,0.9076671852757034,59,18
67,0.280223962814102,61,18
68,0.2582654805219372,10,18
14363,0.35517241876845496,50,115
14364,0.8013251348442235,55,115
14365,0.5960959948564635,86,115
14366,0.4365857274453312,58,115
14367,0.5857835945466542,60,115
14368,0.7528855420795679,59,115
14369,0.9485847566626538,138,115
1218,0.3304886729769677,93,27
1219,0.9247460907488468,94,27
1220,0.40828885877152443,51,27
1230,0.8826971064892737,139,27
14370,0.7217230285072449,87,115
14371,0.15152754753855135,61,115
14372,0.9898248452138496,10,115
14373,0.24389013673638604,88,115
14374,0.6926052405488372,15,115
1231,0.7151028082559858,103,27
14375,0.03689893264137645,16,115
1232,0.8925856463545486,104,27
1233,0.5465010263753086,105,27
1234,0.9854623637503733,107,27
590,0.601962026636701,103,28
597,0.8853695042833394,108,28
598,0.12759879085573322,109,28
3556,0.24553872964423473,186,43
3557,0.8069172170629286,136,43
3558,0.08211695979537093,79,43
3559,0.7121801519940384,80,43
4417,0.14405539074389684,22,46
4418,0.8512412866368834,23,46
4501,0.7529307851709012,166,46
4502,0.39325243729235226,167,46
4517,0.2712474427795788,182,46
4518,0.04877134920871018,183,46
4524,0.7511087674361966,192,46
2218,0.25904852638441667,139,37
2219,0.21496827099243976,103,37
2220,0.3241569697307525,104,37
2221,0.24993888721006452,105,37
2222,0.6328778609845422,107,37
2223,0.38252652476404436,108,37
2224,0.7358432296188981,109,37
2225,0.25999497383313486,110,37
2242,0.11399985142889735,120,37
2243,0.6423404567342433,121,37
2244,0.9547143081188402,142,37
2245,0.1295699224637421,143,37
2246,0.12217689696520906,144,37
2247,0.9607939924018232,122,37
2248,0.7071546350925628,53,37
2249,0.9249195124491649,123,37
2306,0.020059315656783316,185,37
4168,0.02351810556221756,186,41
4169,0.2326633670378252,136,41
4170,0.44032060490104385,79,41
4171,0.6390422082678614,80,41
4172,0.528606367807313,82,41
4173,0.3911657470342137,83,41
4174,0.9901245726833954,84,41
4175,0.906101237596933,85,41
4176,0.3849274915372899,137,41
4280,0.46590380262600417,165,41
4281,0.38621704568449045,166,41
4284,0.6450049297699921,170,41
4285,0.9214996401011565,169,41
4286,0.01094650876331682,176,41
4325,0.9681532368803746,215,41
4327,0.902639894018448,217,41
4328,0.9139905014655543,218,41
14377,0.4001528831540325,19,115
6640,0.6409496622374445,138,53
6641,0.1484073931730503,87,53
6642,0.39369241431319046,61,53
6643,0.7920381593028525,10,53
6644,0.2660223413581516,88,53
6645,0.524332990989999,89,53
6646,0.27005392129044625,90,53
6647,0.2778639645289368,15,53
6648,0.7071815605032353,16,53
6649,0.6392898011983404,19,53
6650,0.2089272774685672,18,53
6651,0.5697480070741251,21,53
6652,0.2877953121106478,22,53
6653,0.7929439689894339,23,53
6654,0.24880038166092144,91,53
6655,0.38311983860360244,92,53
6656,0.7284198330488535,93,53
6657,0.9082376820433119,94,53
6658,0.4627649047429402,51,53
6665,0.04521045625529141,101,53
6666,0.7887650066273967,102,53
6667,0.7470667200743286,139,53
8639,0.5777704659323898,53,80
8640,0.052642031745494644,123,80
22028,0.8947142727118317,91,161
3340,0.5191681601468439,187,27
1253,0.7121894381122655,142,27
1254,0.12648254811140025,143,27
1479,0.28218984206875075,144,27
1255,0.6098722613427996,122,27
1257,0.11087021867316993,123,27
1258,0.4446149666381226,124,27
1259,0.49639147443156995,125,27
1517,0.9661830582133735,184,27
3353,0.3412441968375869,200,27
22029,0.9280132337634682,264,161
8646,0.9024764530687329,186,80
8647,0.8822431682578984,136,80
10577,0.07849603591939058,230,91
8648,0.605538616588926,79,80
10580,0.794783205365361,231,91
10583,0.15244339544604946,232,91
10585,0.4601386722514248,186,91
10586,0.7832791931936204,234,91
3383,0.6304058126347493,230,27
3384,0.7550961871193455,231,27
3385,0.8094738801787283,232,27
572,0.5731647090300261,22,28
573,0.1410118821318782,23,28
8649,0.8556643548392014,80,80
8650,0.11084483266755352,82,80
8651,0.41285261940011897,83,80
8652,0.9687181566732928,84,80
14378,0.8615699958186575,18,115
14379,0.5950828788550167,21,115
14380,0.6711862509349327,22,115
14381,0.4027932705845072,23,115
10587,0.32075214915478534,79,91
10588,0.2886560222005188,235,91
10589,0.2820760919347508,236,91
10590,0.1515797860206204,237,91
574,0.9388392101994484,91,28
10591,0.10566985607461965,238,91
14382,0.12793969035919595,51,115
4066,0.5443425836123313,154,50
4067,0.2885617882266157,155,50
4068,0.8864848842306255,156,50
4069,0.14709888654298353,157,50
4070,0.8300402731624041,158,50
3686,0.1929815817800865,183,43
3687,0.882300471073001,193,43
3688,0.8142662786826609,184,43
3689,0.5557741480363206,185,43
3690,0.9905088881109408,194,43
12292,0.79835433083704,50,108
12293,0.8715335551225812,55,108
12294,0.5407557265837356,86,108
12295,0.07909014654595481,58,108
858,0.18381045209660973,23,31
4492,0.7663072368229906,157,46
4493,0.6465034929866603,158,46
2226,0.6394979993583865,111,37
2227,0.59993393135691,112,37
2228,0.2211912382402984,140,37
2229,0.37605232709753245,114,37
4494,0.49397135853559127,159,46
4495,0.20534893073949367,160,46
4496,0.23302060958933168,161,46
4497,0.34619744012311837,162,46
4498,0.6786967851395654,163,46
1289,0.431760648520927,79,34
1290,0.6356571956912805,80,34
1291,0.146661273755757,82,34
1292,0.2780144207980424,83,34
185,0.3266552535964493,79,19
186,0.35409582698438724,80,19
187,0.13628962641130282,52,19
4543,0.013690083902750283,213,46
1293,0.37394951099782314,84,34
2230,0.4595223842584334,141,37
2231,0.3852704188847036,115,37
2232,0.2524666557775357,116,37
1008,0.8563678357791646,136,1
1009,0.5542300845650617,79,1
1010,0.7267220811250895,80,1
4197,0.7084737663366879,22,41
4198,0.8338175309535014,23,41
4199,0.3483959635691405,91,41
4200,0.5863879308428105,92,41
4201,0.8228324471507024,93,41
4202,0.32899652052189754,94,41
4203,0.09218779068042948,51,41
14384,0.7457354813736332,139,115
14385,0.07401626398159833,103,115
14386,0.7121689718397929,104,115
14387,0.044721355698266296,105,115
14388,0.6796366275088417,107,115
14389,0.2256730125224854,108,115
14390,0.30972841963500863,109,115
14413,0.7709698339938881,149,115
14414,0.7122841615639062,150,115
14415,0.9246739968085883,157,115
14416,0.7585974537102468,170,115
14417,0.5350342329856375,176,115
14418,0.8972511455390332,171,115
6668,0.6153698010134147,103,53
6669,0.8388317943603344,104,53
2978,0.22402388231724313,184,28
2989,0.30522784454475216,201,28
6670,0.8585772115489922,105,53
6671,0.22152675515584896,107,53
6672,0.4984244252887178,108,53
6673,0.5890798067330645,109,53
6674,0.1273807896405077,110,53
6675,0.4898790267434968,111,53
6676,0.12017184336133224,112,53
6677,0.8613637290055931,140,53
6678,0.3724065692999292,114,53
6679,0.8115893076077155,141,53
8653,0.08811827511529702,85,80
8654,0.22320761710627168,137,80
6680,0.03501962750020848,115,53
8655,0.08414491534639601,52,80
1480,0.35847577473528314,145,27
1481,0.9388925182695266,146,27
1482,0.5271044492036897,148,27
1483,0.10673737934907168,149,27
1484,0.552218986261271,150,27
1485,0.8550914596071519,147,27
1486,0.21148757247669792,151,27
8656,0.6348501358071014,50,80
3387,0.6965376129234819,234,27
3388,0.7536904142708092,235,27
3389,0.25243815721905705,236,27
3390,0.7645008455619858,237,27
3391,0.2744588613378953,238,27
6681,0.7059577691444197,116,53
6684,0.6588739281402567,113,53
6685,0.4337141315170572,187,53
6686,0.9643061849721447,175,53
6687,0.5172013707057361,81,53
6689,0.04838347908101137,173,53
6690,0.2602879110086056,119,53
6691,0.679683819848289,120,53
8657,0.8376632207763441,55,80
10592,0.001990976698781566,239,91
10593,0.5173620361677752,240,91
1310,0.8471563741935747,90,34
10594,0.5570091024489926,241,91
4024,0.35538674235676004,116,50
10595,0.9945900122678708,242,91
10596,0.09945001614586091,243,91
10597,0.8122039129718217,244,91
10598,0.5866250484730323,245,91
10599,0.1650309271210575,246,91
10600,0.08593753727865472,247,91
14419,0.5948996776434528,172,115
5687,0.8011085587263392,179,9
5688,0.8646839360506833,180,9
5689,0.2875606467550792,181,9
3691,0.9983883747593243,191,43
14420,0.74056694226479,177,115
14421,0.363116047838539,178,115
14422,0.6307448940312885,179,115
14423,0.9476032108929269,180,115
14424,0.8373207005337685,181,115
14425,0.3349142052931121,189,115
14426,0.020027042690196284,190,115
14427,0.6098214499760165,182,115
14428,0.6041131046428934,183,115
